nom_du_musee,année,region,ville,payant,gratuit,total,id_museofile
Musée des Beaux-Arts Denys Puech,2003,MIDI-PYRENEES,RODEZ,1235,6776,8011,
Musée Municipal Urbain Cabrol,2003,MIDI-PYRENEES,VILLEFRANCHE-DE-ROUERGUE,0,1810,1810,
Musée Campanaire,2003,MIDI-PYRENEES,L'ISLE JOURDAIN,10298,1652,11950,
Musée des Beaux-Arts et des Arts Décoratifs,2003,MIDI-PYRENEES,MIRANDE,648,153,801,
Musée des Transports et des Communications,2003,MIDI-PYRENEES,TOULOUSE,0,500,500,
Musée des Augustins,2003,MIDI-PYRENEES,TOULOUSE,43462,72571,116033,
Musée Salies,2003,MIDI-PYRENEES,BAGNERES-DE-BIGORRE,2173,420,2593,
Musée Henri Martin,2003,MIDI-PYRENEES,CAHORS,2101,7455,9556,
Musée Goya,2003,MIDI-PYRENEES,CASTRES,19331,17895,37226,
Musée d'Art et d'Histoire Charles Portal,2003,MIDI-PYRENEES,CORDES-SUR-CIEL,390,501,891,
Muséum d'histoire naturelle Philadelphe Thomas,2003,MIDI-PYRENEES,GAILLAC,734,3557,4291,
Musée d'Histoire Naturelle Victor Brun,2003,MIDI-PYRENEES,MONTAUBAN,1612,3371,4983,
Musée d'Archéologie et d'Histoire Locale,2003,NORD-PAS-DE-CALAIS,DENAIN,0,1900,1900,
Musée Départemental Matisse,2003,NORD-PAS-DE-CALAIS,LE CATEAU-CAMBRESIS,59267,54324,113591,
Musée d'Histoire Locale de Marchiennes,2003,NORD-PAS-DE-CALAIS,MARCHIENNES,546,829,1375,
Musée des Beaux-Arts,2003,NORD-PAS-DE-CALAIS,ARRAS,36415,0,36415,
Musée Municipal,2003,NORD-PAS-DE-CALAIS,BERCK-SUR-MER,5822,2689,8511,
Musée de la Céramique,2003,NORD-PAS-DE-CALAIS,DESVRES,7928,3793,11721,
Musée des Beaux-Arts,2003,BASSE-NORMANDIE,CAEN,13001,38613,51614,
Mémorial de Caen,2003,BASSE-NORMANDIE,CAEN,377965,45035,423000,
Musée de la Meunerie - Moulin de Marcy,2003,BASSE-NORMANDIE,LE MOLAY-LITTRY,5511,2026,7537,
Musée et Sites archéologiques de Vieux-la-Romaine,2003,BASSE-NORMANDIE,VIEUX,11586,18914,30500,
Musée Municipal,2003,BASSE-NORMANDIE,VIRE NORMANDIE,523,1249,1772,
Musée de la Libération,2003,BASSE-NORMANDIE,CHERBOURG-EN-COTENTIN,5054,3815,8869,
Musée Christian Dior,2003,BASSE-NORMANDIE,GRANVILLE,6544,0,6544,
Musée Municipal - Musée du Jouet,2003,BASSE-NORMANDIE,LA FERTE-MACE,1080,0,1080,
Musée Municipal d'Archéologie,2003,BASSE-NORMANDIE,L'AIGLE,0,150,150,
Musée Municipal,2003,HAUTE-NORMANDIE,LOUVIERS,0,4681,4681,
Musée des Traditions et Arts Normands,2003,HAUTE-NORMANDIE,MARTAINVILLE-EPREVILLE,9346,10971,20317,
Musée des Sapeurs-Pompiers de France,2003,HAUTE-NORMANDIE,MONTVILLE,6903,4959,11862,
Musée-Maison Natale Pierre Corneille,2003,HAUTE-NORMANDIE,ROUEN,691,1618,2309,
Musée Le Secq des Tournelles,2003,HAUTE-NORMANDIE,ROUEN,6446,5546,11992,
Association de l'Horlogerie Aliermontaise,2003,HAUTE-NORMANDIE,SAINT-NICOLAS-D'ALIERMONT,516,155,671,
Musée Victor Hugo,2003,HAUTE-NORMANDIE,VILLEQUIER,6472,7064,13536,
Musée du Pays de Retz,2003,PAYS DE LA LOIRE,BOURGNEUF-EN-RETZ,4480,513,4993,
Musée du Pays de Guérande et de la Porte Saint Michel,2003,PAYS DE LA LOIRE,GUERANDE,20177,3208,23385,
Musée du Château des Ducs de Bretagne,2003,PAYS DE LA LOIRE,NANTES,50384,18036,68420,
Musée du Chaume/Kerhinet - Parc Naturel Régional de Brière,2003,PAYS DE LA LOIRE,SAINT-LYPHARD,5238,780,6018,
Musée d'Art et d'Histoire,2003,PAYS DE LA LOIRE,BAUGE,4883,1104,5987,
Musée du Vieux Château,2003,PAYS DE LA LOIRE,LAVAL,4054,8316,12370,
Musée des Traditions de l'Île,2003,PAYS DE LA LOIRE,LA GUERINIERE,5132,207,5339,
Musée Entomologique,2003,PICARDIE,SAINT-QUENTIN,3144,7397,10541,
Musée Antoine Vivenel,2003,PICARDIE,COMPIEGNE,1025,6532,7557,
Musée Gallé-Juillet,2003,PICARDIE,CREIL,1996,2074,4070,
Musée Archéologique de la région de Breteuil,2003,PICARDIE,VENDEUIL-CAPLY,2371,0,2371,
Musée Boucher-de-Perthes,2003,PICARDIE,ABBEVILLE,0,13542,13542,
Musée Départemental de l'Abbaye de Saint-Riquier,2003,PICARDIE,ABBEVILLE,0,19167,19167,
Musée Napoléonien et Africain,2003,POITOU-CHARENTES,ILE D'AIX,16283,28247,44530,
Musée National de la Marine,2003,POITOU-CHARENTES,ROCHEFORT,21678,9893,31571,
Musée Ernest Cognacq,2003,POITOU-CHARENTES,SAINT-MARTIN-DE-RE,7959,4322,12281,
Musée des Tumulus de Bougon,2003,POITOU-CHARENTES,BOUGON,25115,5685,30800,
Musée ethnographique et archéologique du Donjon,2003,POITOU-CHARENTES,NIORT,11731,0,11731,
Musée des Ruralies,2003,POITOU-CHARENTES,PRAHECQ,5860,1940,7800,
Musée des Traditions Populaires et d'Archéologie,2003,POITOU-CHARENTES,CHAUVIGNY,5801,3270,9071,
Musée Municipal de Civray,2003,POITOU-CHARENTES,CIVRAY,0,425,425,
Musée du Vieux Sisteron,2003,PROVENCE-ALPES-CÔTE D'AZUR,SISTERON,0,477,477,
Musée d'Histoire Locale,2003,PROVENCE-ALPES-CÔTE D'AZUR,BIOT,1002,1728,2730,
Musée-Château de Cagnes,2003,PROVENCE-ALPES-CÔTE D'AZUR,CAGNES-SUR-MER,13362,13903,27265,
Musée Renoir,2003,PROVENCE-ALPES-CÔTE D'AZUR,CAGNES-SUR-MER,22794,7745,30539,
Musée des Beaux-Arts Jules Chéret,2003,PROVENCE-ALPES-CÔTE D'AZUR,NICE,24418,24187,48605,
Musée Archéologique - Site de Terra Amata,2003,PROVENCE-ALPES-CÔTE D'AZUR,NICE,3615,11641,15256,
Musée Départemental des Merveilles,2003,PROVENCE-ALPES-CÔTE D'AZUR,TENDE,27138,0,27138,
Muséum d'Histoire Naturelle,2003,PROVENCE-ALPES-CÔTE D'AZUR,AIX-EN-PROVENCE,7976,18091,26067,
Musée Ciotaden,2003,PROVENCE-ALPES-CÔTE D'AZUR,LA CIOTAT,4440,3595,8035,
Fondation Louis Jou,2003,PROVENCE-ALPES-CÔTE D'AZUR,LES-BAUX-DE-PROVENCE,147,1519,1666,
Musée Cantini,2003,PROVENCE-ALPES-CÔTE D'AZUR,MARSEILLE,13602,20925,34527,
Musée Ziem,2003,PROVENCE-ALPES-CÔTE D'AZUR,MARTIGUES,0,6500,6500,
Musée Suffren et du Vieux Saint-Cannat,2003,PROVENCE-ALPES-CÔTE D'AZUR,SAINT-CANNAT,0,8683,8683,
Musée Baroncelli,2003,PROVENCE-ALPES-CÔTE D'AZUR,SAINTES-MARIES-DE-LA-MER,1005,0,1005,
Musée Départemental des Hautes-Alpes,2003,PROVENCE-ALPES-CÔTE D'AZUR,GAP,5471,11878,17349,
Musée des A.T.P. de Moyenne Provence,2003,PROVENCE-ALPES-CÔTE D'AZUR,DRAGUIGNAN,9181,2404,11585,
Musée Municipal Camille Pautet,2003,PROVENCE-ALPES-CÔTE D'AZUR,MAZAN,0,1287,1287,
Musée de la Société d'Histoire et d'Archéologie,2003,RHONE-ALPES,BRIORD,137,0,137,
Musée de la Résistance et de la Déportation de l'Ain,2003,RHONE-ALPES,NANTUA,7220,380,7600,
"Notre histoire, Musée de Rumilly",2003,RHONE-ALPES,RUMILLY,0,1452,1452,
Musée Dauphinois,2003,RHONE-ALPES,GRENOBLE,41123,0,41123,
Maison du Patrimoine de Hières-sur-Amby,2003,RHONE-ALPES,HIERES SUR AMBY,6358,1054,7412,
Musée Matheysin,2003,RHONE-ALPES,LA MURE,1824,2338,4162,
Musée de la Diana,2003,RHONE-ALPES,MONTBRISON,12800,900,13700,
Musée des Beaux-Arts et d'Archéologie J. Dechelette,2003,RHONE-ALPES,ROANNE,5320,11463,16783,
Musée de la Mine / Site Couriot,2003,RHONE-ALPES,SAINT-ETIENNE,29846,17866,47712,
Musée Historique des Tissus,2003,RHONE-ALPES,LYON,63663,18877,82540,
Musée des Hospices Civils de Lyon,2003,RHONE-ALPES,LYON,6370,1592,7962,
Muséum d'Histoire Naturelle,2003,RHONE-ALPES,LYON,56277,65538,121815,
Musée Henri Malartre,2003,RHONE-ALPES,ROCHETAILLEE-SUR-SAONE,41743,0,41743,
Musée Municipal d'Albertville-Conflans,2003,RHONE-ALPES,ALBERTVILLE,3458,1466,4924,
Musée Savoisien,2003,RHONE-ALPES,CHAMBERY,4390,12316,16706,
Muséum d'histoire naturelle,2003,RHONE-ALPES,CHAMBERY,674,2176,2850,
Musée Historique,2004,ALSACE,HAGUENAU,6820,0,6820,
Musée de la Chartreuse,2004,ALSACE,MOLSHEIM,3100,275,3375,
Musée des Beaux-Arts,2004,ALSACE,STRASBOURG,33680,37263,70943,
Cabinet des Estampes et des Dessins,2004,ALSACE,STRASBOURG,5922,12510,18432,
Musée Sundgauvien d'Altkirch,2004,ALSACE,ALTKIRCH,2409,7843,10252,
Musée d'Unterlinden,2004,ALSACE,COLMAR,178661,30339,209000,
Musée d'Histoire Naturelle et d'Ethnographie de Colmar,2004,ALSACE,COLMAR,3620,4547,8167,
Musée Historique et Militaire de Huningue,2004,ALSACE,HUNINGE,571,0,571,
Musée d'Histoire Local,2004,ALSACE,KAYSERSBERG,325,80,405,
Musée de l'Impression sur Etoffes,2004,ALSACE,MULHOUSE,13940,13979,27919,
Musée du Papier Peint,2004,ALSACE,RIXHEIM,6146,2148,8294,
Musée Fernand Desmoulin,2004,AQUITAINE,BRANTOME,12913,502,13415,
Musée du Périgord,2004,AQUITAINE,PERIGUEUX,25100,0,25100,
Centre National Jean Moulin,2004,AQUITAINE,BORDEAUX,0,22588,22588,
Musée de Borda,2004,AQUITAINE,DAX,2189,2881,5070,
Ecomusée de la Grande Lande,2004,AQUITAINE,SABRES,72942,8105,81047,
Musée Municipal du Lac,2004,AQUITAINE,SANGUINET,1597,220,1817,
Musée des Beaux-Arts,2004,AQUITAINE,AGEN,21650,0,21650,
Musée Municipal Albert Marzelles,2004,AQUITAINE,MARMANDE,0,8384,8384,
Musée Municipal,2004,AQUITAINE,ARUDY,1171,350,1521,
Musée Basque et de l'Histoire de Bayonne,2004,AQUITAINE,BAYONNE,20090,9924,30014,
Musée Municipal des Beaux-Arts,2004,AQUITAINE,PAU,12000,12088,24088,
Musée Bernadotte,2004,AQUITAINE,PAU,2102,2012,4114,
Musée Anne de Beaujeu,2004,AUVERGNE,MOULINS,8723,0,8723,
Musée de la Haute Auvergne,2004,AUVERGNE,SAINT-FLOUR,3833,1733,5566,
Musée Paléontologique,2004,AUVERGNE,MENAT,1054,0,1054,
Musée Alésia,2004,BOURGOGNE,ALISE-SAINTE-REINE,6116,9236,15352,
Musée Bonaparte,2004,BOURGOGNE,AUXONNE,0,3523,3523,
Musée E.J Marey,2004,BOURGOGNE,BEAUNE,4156,977,5133,
Musée du Pays Châtillonnais - Trésor de Vix,2004,BOURGOGNE,CHATILLON-SUR-SEINE,15423,3795,19218,
Musée des Beaux-Arts,2004,BOURGOGNE,DIJON,74649,136882,211531,
Musée des Arts et Traditions des Hautes-Côtes,2004,BOURGOGNE,GEVREY-CHAMBERTIN - Reulle Vergy,408,1532,1940,
Musée du Septennat,2004,BOURGOGNE,CHATEAU-CHINON,20598,2765,23363,
Musée Municipal,2004,BOURGOGNE,LA CHARITE-SUR-LOIRE,985,5335,6320,
Musée Départemental du Compagnonnage,2004,BOURGOGNE,ROMANECHE-THORINS,1999,921,2920,
Musée du Château de Dinan,2004,BRETAGNE,DINAN,25069,4886,29955,
Musée National de la Marine,2004,BRETAGNE,BREST,27677,30188,57865,
Musée de Morlaix,2004,BRETAGNE,MORLAIX,7184,15092,22276,
Ecomusée du Pays de Montfort,2004,BRETAGNE,MONTFORT-SUR-MEU,2775,1331,4106,
Musée des Beaux-Arts,2004,BRETAGNE,RENNES,34433,30065,64498,
Musée d'Histoire de la Ville de Saint-Malo,2004,BRETAGNE,SAINT-MALO,23292,6558,29850,
Musée Saint-Nicolas,2004,BRETAGNE,VITRE,2861,781,3642,
Ecomusée Industriel des Forges,2004,BRETAGNE,INZINZAC-LOCHRIST,4308,1225,5533,
Musée de la Compagnie des Indes,2004,BRETAGNE,PORT-LOUIS,45056,21083,66139,
Musée National de la Marine,2004,BRETAGNE,PORT-LOUIS,45056,21083,66139,
"La Cohue, Musée des Beaux-Arts de vannes",2004,BRETAGNE,VANNES,20000,0,20000,
Musée des Meilleurs Ouvriers de France,2004,CENTRE,BOURGES,0,22516,22516,
Musée du Château Charles VII,2004,CENTRE,MEHUN-SUR-YEVRE,9913,0,9913,
Musée Marcel Proust,2004,CENTRE,ILLIERS-COMBRAY,3795,443,4238,
Musée de l'Histoire du Perche,2004,CENTRE,NOGENT-LE-ROTROU,10377,9096,19473,
Musée Ornithologique (Ecomusée de la Brenne),2004,CENTRE,LE BLANC,3892,1388,5280,
Musée de Préhistoire du Grand Pressigny,2004,CENTRE,LE GRAND PRESSIGNY,13784,0,13784,
Musée Municipal,2004,CENTRE,SAINTE-MAURE-DE-TOURAINE,620,163,783,
Muséum d'Histoire Naturelle,2004,CENTRE,TOURS,7609,13147,20756,
Musée de la Corbillière,2004,CENTRE,MER,1116,0,1116,
Musée Archéologique,2004,CENTRE,THESEE,1783,0,1783,
Musée du Château-Fort,2004,CHAMPAGNE-ARDENNES,SEDAN,58835,0,58835,
Musée Napoléon Ier,2004,CHAMPAGNE-ARDENNES,BRIENNE-LE-CHATEAU,3449,957,4406,
Musée du Temps,2004,FRANCHE-COMTE,BESANCON,74273,0,74273,
Musée de Plein Air des Maisons Comtoises,2004,FRANCHE-COMTE,NANCRAY,50404,30756,81160,
Musée de la Tour des Echevins,2004,FRANCHE-COMTE,LUXEUIL-LES-BAINS,2646,0,2646,
Musée du Jouet,2004,FRANCHE-COMTE,MOIRANS-EN-MONTAGNE,34462,4415,38877,
Musée Territorial Alexandre Franconie,2004,GUYANE,CAYENNE,8255,0,8255,
Ecomusée Municipal d'Approuague-Kaw,2004,GUYANE,REGINA,300,0,300,
Musée Départemental Albert-Kahn,2004,ILE-DE-FRANCE,BOULOGNE-BILLANCOURT,86869,0,86869,
Musée des Années Trente,2004,ILE-DE-FRANCE,BOULOGNE-BILLANCOURT,17428,4817,22245,
Musée - Atelier Rodin,2004,ILE-DE-FRANCE,MEUDON,4136,2735,6871,
Musée National Gustave Moreau,2004,ILE-DE-FRANCE,PARIS,20761,12662,33423,
Musée Carnavalet-Histoire de Paris,2004,ILE-DE-FRANCE,PARIS,343372,51983,395355,
Musée Bourdelle,2004,ILE-DE-FRANCE,PARIS,7872,33117,40989,
Musée Zadkine,2004,ILE-DE-FRANCE,PARIS,10445,9528,19973,
"Musée Cognacq-Jay, Musée du XVIIIe siècle de la ville de Paris",2004,ILE-DE-FRANCE,PARIS,0,34938,34938,
Musée National d'Art Moderne (Centre National d'Art et de Culture Georges Pompidou),2004,ILE-DE-FRANCE,PARIS,2589825,0,2589825,
Musée du Château de Fontainebleau,2004,ILE-DE-FRANCE,FONTAINEBLEAU,219601,99395,318996,
Musée Gatien Bonnet,2004,ILE-DE-FRANCE,LAGNY-SUR-MARNE,0,1770,1770,
Musée de Nogent-Sur-Marne,2004,ILE-DE-FRANCE,NOGENT-SUR-MARNE,0,7386,7386,
Musée de la Renaissance - Château d'Ecouen,2004,ILE-DE-FRANCE,ECOUEN,17308,41922,59230,
Musée Archéologique du Val d'Oise,2004,ILE-DE-FRANCE,GUIRY-EN-VEXIN,12810,2337,15147,
Musée de la Batellerie et des Voies Navigables,2004,ILE-DE-FRANCE,CONFLANS-SAINTE-HONORINE,13536,0,13536,
Musée de la Ville,2004,ILE-DE-FRANCE,MONTIGNY LE BRETONNEUX,4884,5534,10418,
Musée Départemental Maurice Denis,2004,ILE-DE-FRANCE,SAINT-GERMAIN-EN-LAYE,24706,2249,26955,
Etablissement Public du Musée et du Domaine National de Versailles,2004,ILE-DE-FRANCE,VERSAILLES,3545565,784046,4329611,
Musée du Colombier,2004,LANGUEDOC-ROUSSILLON,ALES,0,4889,4889,
Musée des Beaux-Arts,2004,LANGUEDOC-ROUSSILLON,NIMES,15876,0,15876,
Musée Paul Raymond,2004,LANGUEDOC-ROUSSILLON,PONT-SAINT-ESPRIT,283,862,1145,
Musée de la Maison Romane,2004,LANGUEDOC-ROUSSILLON,SAINT-GILLES-DU-GARD,0,6512,6512,
Musée des Beaux-Arts de Béziers,2004,LANGUEDOC-ROUSSILLON,BEZIERS,12922,0,12922,
Musée du Vieux Montpellier,2004,LANGUEDOC-ROUSSILLON,MONTPELLIER,0,5834,5834,
Musée Languedocien,2004,LANGUEDOC-ROUSSILLON,MONTPELLIER,6024,0,6024,
Musée départemental d'Art Moderne,2004,LANGUEDOC-ROUSSILLON,CERET,65191,22812,88003,
Musée des Monnaies et Médailles Joseph Puig,2004,LANGUEDOC-ROUSSILLON,PERPIGNAN,138,1096,1234,
Musée Labenche d'Art et d'Histoire,2004,LIMOUSIN,BRIVE-LA-GAILLARDE,2706,12435,15141,
Les Sources d'Hercule,2004,LORRAINE,DENEUVRE,4304,682,4986,
Palais des ducs de Lorraine - Musée Historique Lorrain,2004,LORRAINE,NANCY,26069,44734,70803,
Musée d'Art Sacré de la Meuse,2004,LORRAINE,SAINT-MIHIEL,3137,1376,4513,
Musée d'Argonne,2004,LORRAINE,VARENNES-EN-ARGONNE,2004,0,2004,
Musée Départemental Georges de la Tour,2004,LORRAINE,VIC-SUR-SEILLE,10550,8167,18717,
Musée de l'Image,2004,LORRAINE,EPINAL,23149,10565,33714,
Musée Départemental de l'Ariège,2004,MIDI-PYRENEES,FOIX,79988,6563,86551,
Musée Municipal de Millau,2004,MIDI-PYRENEES,MILLAU,13817,11174,24991,
Musée du Charroi Rural et de l'Artisanat Traditionnel,2004,MIDI-PYRENEES,SALMIECH,0,1871,1871,
Musée Municipal Urbain Cabrol,2004,MIDI-PYRENEES,VILLEFRANCHE-DE-ROUERGUE,0,3775,3775,
Musée des Jacobins,2004,MIDI-PYRENEES,AUCH,12321,0,12321,
Musée Archéologique,2004,MIDI-PYRENEES,EAUZE,5421,993,6414,
Musée Campanaire,2004,MIDI-PYRENEES,L'ISLE JOURDAIN,10977,3047,14024,
Musée du Vieux Toulouse,2004,MIDI-PYRENEES,TOULOUSE,3569,851,4420,
Musée Paul Dupuy,2004,MIDI-PYRENEES,TOULOUSE,6242,7984,14226,
Musée Salies,2004,MIDI-PYRENEES,BAGNERES-DE-BIGORRE,1900,418,2318,
Musée du Vieux Figeac,2004,MIDI-PYRENEES,FIGEAC,625,624,1249,
Musée du protestantisme en Haut-Languedoc,2004,MIDI-PYRENEES,FERRIERES,1277,371,1648,
Musée Départemental du Textile,2004,MIDI-PYRENEES,LA-BASTIDE-ROUAIROUX,4213,3019,7232,
Musée Théodore Calbet,2004,MIDI-PYRENEES,GRISOLLES,0,2563,2563,
Musée des arts et traditions populaires,2004,MIDI-PYRENEES,MOISSAC,4215,1301,5516,
Musée Benoît de Puydt,2004,NORD-PAS-DE-CALAIS,BAILLEUL,2485,4773,7258,
Musée de l'Ostrevant,2004,NORD-PAS-DE-CALAIS,BOUCHAIN,384,1079,1463,
Musée Municipal d'Escaudain,2004,NORD-PAS-DE-CALAIS,ESCAUDAIN,0,1048,1048,
Musée des Beaux-Arts,2004,NORD-PAS-DE-CALAIS,ROUBAIX,131323,120567,251890,
Musée des Beaux-Arts et de la Dentelle,2004,NORD-PAS-DE-CALAIS,CALAIS,17167,9709,26876,
Musée de la Céramique,2004,NORD-PAS-DE-CALAIS,DESVRES,7346,5706,13052,
Musée de l'Hôtel Sandelin,2004,NORD-PAS-DE-CALAIS,SAINT-OMER,6104,5320,11424,
Mémorial de Caen,2004,BASSE-NORMANDIE,CAEN,509600,50400,560000,
Musée Municipal,2004,BASSE-NORMANDIE,ORBEC,0,3505,3505,
Château de Saint-Germain de Livet,2004,BASSE-NORMANDIE,SAINT-GERMAIN DE LIVET,13928,13981,27909,
Musée et Sites archéologiques de Vieux-la-Romaine,2004,BASSE-NORMANDIE,VIEUX,26159,0,26159,
Musée de l'Abbaye,2004,BASSE-NORMANDIE,CERISY-LA-FORET,6701,963,7664,
Musée Thomas Henry,2004,BASSE-NORMANDIE,CHERBOURG-EN-COTENTIN,0,21605,21605,
Musée de la Poeslerie,2004,BASSE-NORMANDIE,VILLEDIEU-LES-POELES-ROUFFIGNY,8275,546,8821,
Musée Municipal - Musée du Jouet,2004,BASSE-NORMANDIE,LA FERTE-MACE,1232,0,1232,
Musée Municipal d'Archéologie,2004,BASSE-NORMANDIE,L'AIGLE,0,154,154,
Musée Départemental d'Art Sacré,2004,BASSE-NORMANDIE,SEES,1299,0,1299,
Musée Municipal,2004,HAUTE-NORMANDIE,BERNAY,1176,5677,6853,
Musée de l'Ancien Evêché,2004,HAUTE-NORMANDIE,EVREUX,3238,6086,9324,
Musée Municipal Nicolas Poussin,2004,HAUTE-NORMANDIE,LES ANDELYS,985,854,1839,
Pavillon Flaubert,2004,HAUTE-NORMANDIE,CANTELEU,911,0,911,
Maison des Templiers,2004,HAUTE-NORMANDIE,CAUDEBEC-EN-CAUX,1034,0,1034,
Musée Louis-Philippe du Château d'Eu,2004,HAUTE-NORMANDIE,EU,9325,3014,12339,
Musée du Prieuré,2004,HAUTE-NORMANDIE,HARFLEUR,151,4349,4500,
Musée Départemental Pierre Corneille,2004,HAUTE-NORMANDIE,LE PETIT-COURONNE,1098,2348,3446,
Musée Mathon-Durand,2004,HAUTE-NORMANDIE,NEUFCHATEL-EN-BRAY,522,1542,2064,
Musée des Beaux-Arts,2004,HAUTE-NORMANDIE,ROUEN,36331,43716,80047,
Musée-Maison Natale Pierre Corneille,2004,HAUTE-NORMANDIE,ROUEN,781,1400,2181,
Musée de la Céramique,2004,HAUTE-NORMANDIE,ROUEN,5305,6686,11991,
Musées du Parc Naturel Régional de Brière,2004,PAYS DE LA LOIRE,SAINT-JOACHIM,3092,0,3092,
Muséum d'Histoire Naturelle,2004,PAYS DE LA LOIRE,ANGERS,3213,12187,15400,
Musée Jean Lurcat et de la Tapisserie Contemporaine,2004,PAYS DE LA LOIRE,ANGERS,14145,38848,52993,
Musée du Vieux Château,2004,PAYS DE LA LOIRE,LAVAL,6767,19364,26131,
Musée de l'Ardoise et de la Géologie,2004,PAYS DE LA LOIRE,RENAZE,1713,620,2333,
Musée de l'Abbaye de Sainte-Croix,2004,PAYS DE LA LOIRE,LES SABLES D'OLONNE,4272,11234,15506,
Musée Jean de la Fontaine,2004,PICARDIE,CHATEAU-THIERRY,6592,4044,10636,
Musée de la Résistance et de la Déportation,2004,PICARDIE,TERGNIER,6642,0,6642,
Musée de l'Archerie et de l'Art Sacré,2004,PICARDIE,CREPY-EN-VALOIS,3832,1672,5504,
Musée d'Art et d'Archéologie,2004,PICARDIE,SENLIS,1987,1805,3792,
Musée Départemental de l'Abbaye de Saint-Riquier,2004,PICARDIE,ABBEVILLE,0,18037,18037,
Musée de l'Hôtel de Berny,2004,PICARDIE,AMIENS,214,2740,2954,
Musée de la Maison de Pierre Loti,2004,POITOU-CHARENTES,ROCHEFORT,30677,2644,33321,
Musée Dupuy-Mestreau,2004,POITOU-CHARENTES,SAINTES,700,2233,2933,
Musée des Traditions Populaires et d'Archéologie,2004,POITOU-CHARENTES,CHAUVIGNY,8897,0,8897,
Collection d'Histoire Naturelle,2004,POITOU-CHARENTES,POITIERS,25267,68544,93811,
Musée d'Histoire Locale,2004,PROVENCE-ALPES-CÔTE D'AZUR,BIOT,801,1836,2637,
Musée Jean Cocteau Collection Séverin Wunderman,2004,PROVENCE-ALPES-CÔTE D'AZUR,MENTON,10977,3834,14811,
Musée Départemental des Arts Asiatiques,2004,PROVENCE-ALPES-CÔTE D'AZUR,NICE,15660,18956,34616,
Musée Matisse,2004,PROVENCE-ALPES-CÔTE D'AZUR,NICE,79251,47428,126679,
Muséum d'Histoire Naturelle,2004,PROVENCE-ALPES-CÔTE D'AZUR,AIX-EN-PROVENCE,8044,19856,27900,
Musée des Tapisseries,2004,PROVENCE-ALPES-CÔTE D'AZUR,AIX-EN-PROVENCE,16902,12998,29900,
Musée Archéologique d'Istres René Beaucaire,2004,PROVENCE-ALPES-CÔTE D'AZUR,ISTRES,622,2900,3522,
Musée des Docks Romains,2004,PROVENCE-ALPES-CÔTE D'AZUR,MARSEILLE,8183,0,8183,
Musée d'Art Contemporain - Galeries Contemporaines,2004,PROVENCE-ALPES-CÔTE D'AZUR,MARSEILLE,6864,17747,24611,
Musée d'Archéologie Méditerranéenne,2004,PROVENCE-ALPES-CÔTE D'AZUR,MARSEILLE,23222,0,23222,
Musée Cantini,2004,PROVENCE-ALPES-CÔTE D'AZUR,MARSEILLE,19138,28185,47323,
Muséum d'Histoire Naturelle,2004,PROVENCE-ALPES-CÔTE D'AZUR,MARSEILLE,17098,36599,53697,
Musée du Pays Brignolais,2004,PROVENCE-ALPES-CÔTE D'AZUR,BRIGNOLES,1170,917,2087,
Musée Jean Aicard,2004,PROVENCE-ALPES-CÔTE D'AZUR,LE POUVEREL LA GARDE,0,896,896,
Musée Archéologique,2004,PROVENCE-ALPES-CÔTE D'AZUR,SAINT-RAPHAËL,0,3800,3800,
Musée d'Art et d'Archéologie,2004,PROVENCE-ALPES-CÔTE D'AZUR,TOULON,0,15665,15665,
Musée National de la Marine de Toulon,2004,PROVENCE-ALPES-CÔTE D'AZUR,TOULON,14751,15212,29963,
Musée Marc Deydier,2004,PROVENCE-ALPES-CÔTE D'AZUR,CUCURON,0,3914,3914,
Musée Municipal Camille Pautet,2004,PROVENCE-ALPES-CÔTE D'AZUR,MAZAN,0,1570,1570,
Musée Municipal,2004,PROVENCE-ALPES-CÔTE D'AZUR,ORANGE,62792,0,62792,
Musée Archéologique Théo Desplans,2004,PROVENCE-ALPES-CÔTE D'AZUR,VAISON-LA-ROMAINE,70834,0,70834,
Musée de la Société d'Histoire et d'Archéologie,2004,RHONE-ALPES,BRIORD,179,0,179,
Musée Archéologique,2004,RHONE-ALPES,IZERNORE,0,100,100,
Musée Chintreuil,2004,RHONE-ALPES,PONT-DE-VAUX,4449,0,4449,
Musée Départemental du Revermont,2004,RHONE-ALPES,VAL-REVERMONT,21294,0,21294,
Musée et Site Archéologiques,2004,RHONE-ALPES,SOYONS,7184,2065,9249,
Musée de la Résistance de la Déportation de l'Isère,2004,RHONE-ALPES,GRENOBLE,0,27080,27080,
Musée Dauphinois,2004,RHONE-ALPES,GRENOBLE,0,107398,107398,
Musée Hébert,2004,RHONE-ALPES,LA TRONCHE,0,18981,18981,
Musée de la Grande Chartreuse,2004,RHONE-ALPES,SAINT-PIERRE-DE-CHARTREUSE,60805,0,60805,
Musée des Beaux-Arts et d'Archéologie,2004,RHONE-ALPES,VIENNE,1437,1734,3171,
Musée Alice Taverne,2004,RHONE-ALPES,AMBIERLE,5440,1689,7129,
Musée Hospitalier,2004,RHONE-ALPES,CHARLIEU,4191,1725,5916,
Musée d'Histoire du  20ème Siècle - Résistance et Déportation,2004,RHONE-ALPES,ESTIVAREILLES,3244,1153,4397,
Musée d'Art Moderne et Contemporain,2004,RHONE-ALPES,SAINT-ETIENNE,36286,24135,60421,
